Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:01<00:02,  1.48s/it]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:02<00:01,  1.47s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:04<00:00,  1.41s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:04<00:00,  1.42s/it]
calibrated means over 32 items
baseline acc=0.607 [0.527, 0.681]  {'contradiction': 81, 'entailment': 69}
  L21 H21  acc=0.607  delta=+0.000   (150/192, 3.0/min, eta 14 min)
  L21 H22  acc=0.607  delta=+0.000   (151/192, 3.0/min, eta 14 min)
  L21 H23  acc=0.607  delta=+0.000   (152/192, 3.0/min, eta 13 min)
  L21 H24  acc=0.607  delta=+0.000   (153/192, 3.0/min, eta 13 min)
  L21 H25  acc=0.607  delta=+0.000   (154/192, 3.0/min, eta 13 min)
  L21 H26  acc=0.607  delta=+0.000   (155/192, 3.0/min, eta 12 min)
  L21 H27  acc=0.607  delta=+0.000   (156/192, 3.0/min, eta 12 min)
  L21 H28  acc=0.607  delta=+0.000   (157/192, 3.0/min, eta 12 min)
  L21 H29  acc=0.607  delta=+0.000   (158/192, 3.0/min, eta 11 min)
  L21 H30  acc=0.607  delta=+0.000   (159/192, 3.0/min, eta 11 min)
  L21 H31  acc=0.613  delta=+0.007   (160/192, 3.0/min, eta 11 min)
  L22 H0   acc=0.607  delta=+0.000   (161/192, 3.0/min, eta 10 min)
  L22 H1   acc=0.607  delta=+0.000   (162/192, 3.0/min, eta 10 min)
  L22 H2   acc=0.607  delta=+0.000   (163/192, 3.0/min, eta 10 min)
  L22 H3   acc=0.607  delta=+0.000   (164/192, 3.0/min, eta 9 min)
  L22 H4   acc=0.613  delta=+0.007   (165/192, 3.0/min, eta 9 min)
  L22 H5   acc=0.607  delta=+0.000   (166/192, 3.0/min, eta 9 min)
  L22 H6   acc=0.607  delta=+0.000   (167/192, 3.0/min, eta 8 min)
  L22 H7   acc=0.607  delta=+0.000   (168/192, 3.0/min, eta 8 min)
  L22 H8   acc=0.607  delta=+0.000   (169/192, 3.0/min, eta 8 min)
  L22 H9   acc=0.607  delta=+0.000   (170/192, 3.0/min, eta 7 min)
  L22 H10  acc=0.607  delta=+0.000   (171/192, 3.0/min, eta 7 min)
  L22 H11  acc=0.613  delta=+0.007   (172/192, 3.0/min, eta 7 min)
